,dc_p,s_ir,h_ir,m_t
531,3.6,76.0,-1.0,14.0
532,3.2,68.0,-1.0,14.1
533,2.9,61.0,-1.0,14.1
534,2.7,56.0,-1.0,14.1
535,2.6,53.0,-1.0,14.0
536,2.5,52.0,-1.0,14.0
537,2.5,50.0,-1.0,14.0
538,2.5,50.0,-1.0,13.9
539,2.5,49.0,-1.0,13.8
540,2.5,49.0,-1.0,13.8
541,2.5,49.0,-1.0,13.7
542,2.4,50.0,-1.0,13.7
543,2.9,54.0,-1.0,13.6
544,3.5,65.0,-1.0,13.6
545,3.1,64.0,-1.0,13.5
546,2.6,54.0,-1.0,13.5
547,2.5,51.0,-1.0,13.5
548,2.4,48.0,-1.0,13.4
549,2.2,45.0,-1.0,13.3
550,2.0,40.0,-1.0,13.3
551,1.9,38.0,-1.0,13.2
552,2.0,39.0,-1.0,13.1
553,1.9,38.0,-1.0,13.0
554,1.8,35.0,-1.0,12.9
555,1.8,35.0,-1.0,12.8
556,2.1,39.0,-1.0,12.7
557,2.1,41.0,-1.0,12.7
558,2.1,42.0,-1.0,12.6
559,2.2,42.0,-1.0,12.6
560,2.2,42.0,-1.0,12.6
561,2.2,43.0,-1.0,12.6
562,2.2,44.0,-1.0,12.5
563,2.2,44.0,-1.0,12.5
564,2.2,43.0,-1.0,12.5
565,2.0,40.0,-1.0,12.5
566,1.6,37.0,-1.0,12.4
567,1.8,36.0,-1.0,12.4
568,1.9,34.0,-1.0,12.4
569,1.6,32.0,-1.0,12.4
570,1.5,30.0,-1.0,12.3
571,1.4,28.0,-1.0,12.3
572,1.4,27.0,-1.0,12.2
573,1.3,26.0,-1.0,12.2
574,1.3,25.0,-1.0,12.0
575,1.0,24.0,-1.0,12.0
576,1.3,21.0,-1.0,11.9
577,1.1,20.0,-1.0,11.8
578,1.1,20.0,-1.0,11.8
579,1.0,20.0,-1.0,11.7
580,0.0,0.0,-1.0,8.9
581,0.0,0.0,-1.0,8.9
582,0.0,0.0,-1.0,8.9
583,0.0,0.0,-1.0,8.8
584,0.0,0.0,-1.0,8.8
585,0.0,0.0,-1.0,8.8
586,0.0,0.0,-1.0,8.7
587,0.0,0.0,-1.0,8.7
588,0.0,0.0,-1.0,8.6
589,0.0,0.0,-1.0,8.6
590,0.0,0.0,-1.0,8.5
591,0.0,0.0,-1.0,8.5
592,0.0,0.0,-1.0,8.4
593,0.0,0.0,-1.0,8.4
594,0.0,0.0,-1.0,8.3
595,0.0,0.0,-1.0,8.3
596,0.0,0.0,-1.0,8.3
597,0.0,0.0,-1.0,8.2
598,0.0,0.0,-1.0,8.1
599,0.0,0.0,-1.0,8.1
600,0.0,0.0,-1.0,8.1
601,0.0,0.0,-1.0,8.1
602,0.0,0.0,-1.0,8.0
603,0.0,0.0,-1.0,8.0
604,0.0,0.0,-1.0,8.0
605,0.0,0.0,-1.0,8.0
606,0.0,0.0,-1.0,8.0
607,0.0,0.0,-1.0,8.0
608,0.0,0.0,-1.0,8.0
609,0.0,0.0,-1.0,8.0
610,0.0,0.0,-1.0,8.0
611,0.0,0.0,-1.0,8.0
612,0.0,0.0,-1.0,8.0
613,0.0,0.0,-1.0,8.0
614,0.0,0.0,-1.0,8.0
615,0.0,0.0,-1.0,8.0
616,0.0,0.0,-1.0,8.0
617,0.0,0.0,-1.0,8.0
618,0.0,0.0,-1.0,8.0
619,0.0,0.0,-1.0,8.0
620,0.0,0.0,-1.0,8.0
621,0.0,0.0,-1.0,8.0
622,0.0,0.0,-1.0,8.0
623,0.0,0.0,-1.0,8.0
624,0.0,0.0,-1.0,8.0
625,0.0,0.0,-1.0,8.0
626,0.0,0.0,-1.0,8.0
627,0.0,0.0,-1.0,8.0
628,0.0,0.0,-1.0,7.9
629,0.0,0.0,-1.0,7.9
630,0.0,0.0,-1.0,7.9
631,0.0,0.0,-1.0,7.9
632,0.0,0.0,-1.0,7.9
633,0.0,0.0,-1.0,7.9
634,0.0,0.0,-1.0,7.8
635,0.0,0.0,-1.0,7.8
636,0.0,0.0,-1.0,7.8
637,0.0,0.0,-1.0,7.8
638,0.0,0.0,-1.0,7.8
639,0.0,0.0,-1.0,7.8
640,0.0,0.0,-1.0,7.8
641,0.0,0.0,-1.0,8.6
642,0.0,0.0,-1.0,8.6
643,0.0,0.0,-1.0,8.6
644,0.0,0.0,-1.0,8.6
645,0.0,0.0,-1.0,8.6
646,0.0,0.0,-1.0,8.6
647,0.0,0.0,-1.0,8.6
648,0.0,0.0,-1.0,8.6
649,0.0,0.0,-1.0,8.6
650,0.0,0.0,-1.0,8.6
651,0.0,0.0,-1.0,8.6
652,0.0,0.0,-1.0,8.6
653,0.0,0.0,-1.0,8.6
654,0.0,0.0,-1.0,8.6
655,0.0,0.0,-1.0,8.6
656,0.0,0.0,-1.0,8.6
657,0.0,0.0,-1.0,8.6
658,0.0,0.0,-1.0,8.6
659,0.0,0.0,-1.0,8.6
660,0.0,0.0,-1.0,8.6
661,0.0,0.0,-1.0,8.6
662,0.0,0.0,-1.0,8.6
663,0.0,0.0,-1.0,8.6
664,0.0,0.0,-1.0,8.5
665,0.0,0.0,-1.0,8.5
666,0.0,0.0,-1.0,8.5
667,0.0,0.0,-1.0,8.5
668,0.0,0.0,-1.0,8.5
669,0.0,0.0,-1.0,8.5
670,0.0,0.0,-1.0,8.5
671,0.0,0.0,-1.0,8.5
672,0.0,0.0,-1.0,8.5
673,0.0,0.0,-1.0,8.5
674,0.0,0.0,-1.0,8.5
675,0.0,0.0,-1.0,8.5
676,0.0,0.0,-1.0,8.4
677,0.0,0.0,-1.0,8.4
678,0.0,0.0,-1.0,8.4
679,0.0,0.0,-1.0,8.4
680,0.0,0.0,-1.0,8.4
681,0.0,0.0,-1.0,8.4
682,0.0,0.0,-1.0,8.4
683,0.0,0.0,-1.0,8.4
684,0.0,0.0,-1.0,8.4
685,0.0,0.0,-1.0,8.4
686,0.0,0.0,-1.0,8.3
687,0.0,0.0,-1.0,8.3
688,0.0,0.0,-1.0,8.2
689,0.0,0.0,-1.0,8.2
690,0.0,0.0,-1.0,8.2
691,0.0,0.0,-1.0,8.2
692,0.0,0.0,-1.0,8.2
693,0.0,0.0,-1.0,8.2
694,0.0,0.0,-1.0,8.1
695,0.0,0.0,-1.0,8.1
696,0.0,0.0,-1.0,8.2
697,0.0,0.0,-1.0,8.2
698,0.0,0.0,-1.0,8.2
699,0.0,0.0,-1.0,8.2
700,0.0,0.0,-1.0,8.2
701,0.0,0.0,-1.0,8.2
702,0.0,0.0,-1.0,8.0
703,0.0,0.0,-1.0,8.0
704,0.0,0.0,-1.0,8.0
705,0.0,0.0,-1.0,8.0
706,0.0,0.0,-1.0,8.0
707,0.0,0.0,-1.0,8.0
708,0.0,0.0,-1.0,8.1
709,0.0,0.0,-1.0,8.1
710,0.0,0.0,-1.0,8.1
711,0.0,0.0,-1.0,8.1
712,0.0,0.0,-1.0,8.1
713,0.0,0.0,-1.0,8.2
714,0.0,0.0,-1.0,8.2
715,0.0,0.0,-1.0,8.2
716,0.0,0.0,-1.0,8.3
717,0.0,0.0,-1.0,8.3
718,0.0,0.0,-1.0,8.3
719,0.0,0.0,-1.0,8.3
720,0.0,0.0,-1.0,8.3
721,0.0,0.0,-1.0,8.3
722,0.0,0.0,-1.0,8.3
723,0.0,0.0,-1.0,8.3
724,0.0,0.0,-1.0,8.3
725,0.0,0.0,-1.0,8.3
726,0.0,0.0,-1.0,8.2
727,0.0,0.0,-1.0,8.2
728,0.0,0.0,-1.0,8.2
729,0.0,0.0,-1.0,8.2
